Transmission Mean Time(ms), Sever InnerTime(ms)
14.8957,1.1756
5.9822,3.4343
6.4845,0.8143
6.1683,2.4837
6.5188,0.9591
12.0524,0.9016
17.0114,0.9465
6.0063,0.8642
8.36,1.0127
14.6033,1.0843
5.9674,0.886
5.8355,2.3712
6.9773,0.9494
6.0477,1.3457
6.615,1.0452
5.8342,1.265
22.7355,0.8833
14.2943,0.7869
5.9229,0.8433
9.8336,2.1858
15.4205,0.7678
15.7542,1.0357
6.0024,0.86
6.1837,0.9664
5.9633,1.0146
7.2066,1.7045
7.0972,1.0112
7.8815,0.9436
6.0666,1.0129
1.9735,1.8858
6.182,1.1825
17.8952,0.9874
14.9834,0.9408
8.0713,3.7385
20.9829,0.957
13.7941,0.9972
6.1227,0.7951
41.9578,1.0425
6.0808,0.911
7.6245,2.1212
6.3068,0.9714
5.2557,1.0901
5.7047,0.8937
7.7661,4.2434
81.977,1.2823
41.7174,0.8721
17.8277,1.554
13.9996,0.8327
22.1464,0.997
6.2801,0.8642
9.3949,0.9505
5.7322,0.7228
10.28,0.9654
6.1282,0.8705
6.2716,1.5653
7.1097,0.9489
6.0017,1.3992
11.7797,13.2327
6.6822,1.0943
5.8101,1.1969
18.2741,0.915
6.5779,1.0884
5.8553,0.9278
12.7659,0.7799
18.4023,1.11
5.8159,3.9721
7.0186,1.2561
7.435,1.5507
4.6078,0.8341
6.3865,2.9683
12.9939,0.9111
6.9406,0.9638
15.2789,1.0164
6.7302,1.0273
6.9685,1.125
5.9322,1.0756
7.4393,0.8309
6.4967,1.0367
6.394,2.409
6.1094,0.8427
7.5195,1.4605
18.585,0.8192
7.9796,0.8908
6.8075,1.0473
5.9205,1.0375
791.2445,1.2314
9.0034,1.3521
12.943,0.8414
6.8579,1.0233
6.2553,0.7895
6.9548,1.8029
7.4131,0.6794
7.4566,2.068
5.7686,0.9253
7.809,1.7799
8.4148,0.9185
13.0345,0.9771
6.0703,2.5389
9.3308,0.9313
6.8004,1.7192
10.3024,1.1644
12.5677,1.3578
11.5218,1.3342
5.6587,0.9038
6.2249,0.9905
5.8125,0.8001
7.0502,1.5953
10.5527,1.6322
7.3034,1.1554
15.3519,0.9692
6.4669,0.9183
7.0403,0.8789
6.18,1.048
4.9915,1.2326
17.7273,0.8432
6.006,1.0662
19.7805,2.4284
12.9016,0.9898
5.7379,0.8901
20.0245,1.0204
15.9828,0.8504
10.8129,0.9566
6.3204,0.9962
9.5699,0.9275
6.5171,1.0416
5.2741,1.1552
6.4332,0.8731
7.0114,2.3786
6.6258,0.6998
8.1585,0.7323
6.4807,0.9341
7.6075,1.237
6.1475,0.8263
6.1466,3.086
6.8262,0.6721
6.4915,2.7048
9.0866,0.6644
6.5288,0.9298
5.8519,0.7586
7.4067,1.6426
7.1997,0.7547
6.1306,2.3315
6.6737,0.6447
6.3706,0.6962
7.5798,1.4281
7.2423,1.2398
5.8809,0.9763
5.8671,0.8359
6.2817,1.36
6.4714,0.8768
6.4176,2.0122
5.6223,0.8533
7.7687,2.2829
7.1712,0.9619
7.3411,0.8996
5.6561,1.0227
5.9227,1.2292
6.7513,0.7736
6.2259,0.7408
11.3175,0.784
6.6866,3.7351
5.6903,0.5816
7.0695,1.5188
6.7744,0.6906
6.4533,3.7698
5.6956,0.7607
9.2374,0.6545
6.3584,0.6648
9.3961,1.0647
5.8504,0.876
9.6361,0.7297
6.6903,0.918
6.3144,1.7849
5.916,0.7914
7.4844,1.4616
7.2314,0.8055
7.2491,2.608
8.4139,0.7839
6.3377,1.8041
5.8657,0.5828
6.8252,2.0097
6.5815,0.7683
8.7024,1.1711
6.3283,0.7883
6.8982,2.4771
2.6443,1.6062
5.5858,0.8056
6.5404,1.0157
7.1248,1.5543
7.7718,1.2387
5.8839,0.7867
6.2325,1.548
6.3514,0.9032
6.1758,2.6873
6.1788,0.6621
6.2358,3.5578
6.4277,1.21
94.8135,
